name,brand,barcode,category,image_url,ingredients
Poudre compacte matifiante 8h,Sephora,3378872066927,"Maquillage, Maquillage pour le teint, Poudres fixantes, Poudres libres",https://images.openbeautyfacts.org/images/products/337/887/206/6927/front_en.5.400.jpg,
Vernis à ongles laqué - L30 Not that shy,Sephora,3378872067566,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/206/7566/front_en.3.400.jpg,"Butyl acétate, Ethyl acétate, Nitrocellulose, Acetyl tributyl citrate, Phthalic anhydride/Trimellitic anhydride/Glycols copolymer, isopropyl alcohol, Stearalkonium hectorite, Adipic acid/Fumaric acid/Phthalic acid/Tricyclodecane Dimethanol Copolymer, CI 77891, Citric Acid, CI 19140, CI 77491, Styrene/Acrylates Copolymer, CI 77499"
Vernis à ongles,Sephora,3378872073208,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/207/3208/front_en.9.400.jpg,"Butyl Acetate, Ethyl Acetate, Nitrocellulose, Phthalic Anhydride/Trimelitic Anhydride/Glycols Copolymer, Acetyl Tributyl Citrate, Isopropyl Alcohol, Mica, Stearalkonium Hectorite, Acrylates Copolymer, CI 77891 (Titanium Dioxide), Adipic Acid/Fumaric Acid/Phthalic Acid/Tricyclodecane Dimethanol Copolymer, Copernicia Cerifera (Carnauba) Wax, Polyvinyl Butyral, Silica, Citric Acid, Phosphoric Acid."
Vernis à ongles laque brillance 5 jours L18 Think Big,Sephora,3378872073369,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/207/3369/front_fr.9.400.jpg,
Vernis à ongles Brillance 5 jours L49,Sephora,3378872073673,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/207/3673/front_fr.5.400.jpg,"Butyl acetate, ethyl acetate, nitrocellulose, phthalic anhydride/trimellitic anhydride/glycols copolymer, acetyl tributyl citrate, isopropyl alcohol, stearalkonium hectorite, acrylates copolymer, CI 77891 (titanium dioxide), mica, adipic acid/fumaric acid/phthalic acid/tricyclodecane dimethanol copolymer, CI 15880 (red 34 lake), copernicia cerifera (carnauba) wax, CI 77499 (iron oxides), polyvinyl butyral, citric acid, styrene/acrylates copolymer, phosphoric acid, CI 73360 (red 30 lake)."
Vernis à ongles laque Brillance 5 jours,Sephora,3378872073697,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/207/3697/front_fr.5.400.jpg,"Butyl Acetate, ethyl acetate, nitrocellulose, phthalic anhydride/trimellitic anhydride/glycols copolymer, acetyl tributyl citrate, isopropyl alcohol, CI 77742 (manganese violet), stearalkonium hectorite, adipic acid/fumaric acid/phthalic acid/tricyclodecane dimethanol copolymer, CI 77891 (titanium dioxide), CI 42090 (Blue 1 Lake), CI 15880 (Red 34 Lake), CI 15850 (Red 7 Lake), citric acid."
Vernis à ongles laque Brillance 5 jours L52,Sephora,3378872073703,"Maquillage, Maquillage pour les ongles, Vernis à ongles",https://images.openbeautyfacts.org/images/products/337/887/207/3703/front_fr.5.400.jpg,"Butyl acetate, ethyl acetate, nitrocellulose, phthalic anhydride/trimelitic anhydride/glycols copolymer, acetyl tributyl citrate, isopropyl alcohol, CI 77742 (manganese violet), CI 77007 (Ultramarines), stearalkonium hectorite, adipic acid/fumaric acid/phthalic acid/tricyclodecane dimethanol copolymer, CI 77891 (titanium dioxide), CI 15880 (red 34 lake), citric acid."
Lilas bleu crème de douche,Sephora,3378872083023,"Hygiène, Douches et bains, Gels douche",https://images.openbeautyfacts.org/images/products/337/887/208/3023/front_fr.6.400.jpg,
Lait démaquillant ultra-fondant,Sephora,3378872083498,"Visage, Démaquillants, Laits démaquillants",https://images.openbeautyfacts.org/images/products/337/887/208/3498/front_fr.4.400.jpg,
Teint infusion,Sephora,3378872085201,"Maquillage, Maquillage pour le teint, en:foundations",https://images.openbeautyfacts.org/images/products/337/887/208/5201/front_fr.6.400.jpg,
